title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,url
Accountants,Uncategorized,accountants,2411,104955,50.46,Bachelor's degree,None,None,5200,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2411
Accounting and bookkeeping clerks,Uncategorized,accounting-and-bookkeeping-clerks,4311,71656,34.45,High school diploma or equivalent,None,None,1050,10200,-7,As fast as average,200,http://data.europa.eu/esco/isco/C4311
Accounting associate professionals,Uncategorized,accounting-associate-professionals,3313,81092,38.99,Associate's degree,None,None,1166,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3313
Actors,Uncategorized,actors,2655,107193,51.54,Bachelor's degree,None,None,1347,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2655
Administrative and executive secretaries,Uncategorized,administrative-and-executive-secretaries,3343,77214,37.12,Associate's degree,None,None,1166,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3343
Advertising and marketing professionals,Uncategorized,advertising-and-marketing-professionals,2431,99796,47.98,Bachelor's degree,None,None,5200,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2431
Advertising and public relations managers,Uncategorized,advertising-and-public-relations-managers,1222,129313,62.17,Bachelor's degree,None,None,714,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C1222
Aged care services managers,Uncategorized,aged-care-services-managers,1343,133886,64.37,Bachelor's degree,None,None,200,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C1343
Agricultural and forestry production managers,Uncategorized,agricultural-and-forestry-production-managers,1311,119572,57.49,Bachelor's degree,None,None,200,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C1311
Agricultural and industrial machinery mechanics and repairers,Uncategorized,agricultural-and-industrial-machinery-mechanics-and-repairers,7233,69880,33.60,High school diploma or equivalent,None,None,369,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7233
