title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,url
Accountants,Uncategorized,accountants,2411,18367,8.83,Bachelor's degree,None,None,10827,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2411
Accounting and bookkeeping clerks,Uncategorized,accounting-and-bookkeeping-clerks,4311,12539,6.03,High school diploma or equivalent,None,None,11116,10200,-7,As fast as average,200,http://data.europa.eu/esco/isco/C4311
Accounting associate professionals,Uncategorized,accounting-associate-professionals,3313,14191,6.82,Associate's degree,None,None,6300,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3313
Actors,Uncategorized,actors,2655,18758,9.02,Bachelor's degree,None,None,3590,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2655
Administrative and executive secretaries,Uncategorized,administrative-and-executive-secretaries,3343,13512,6.50,Associate's degree,None,None,6300,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3343
Advertising and marketing professionals,Uncategorized,advertising-and-marketing-professionals,2431,17464,8.40,Bachelor's degree,None,None,10827,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2431
Advertising and public relations managers,Uncategorized,advertising-and-public-relations-managers,1222,22629,10.88,Bachelor's degree,None,None,4900,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C1222
Aged care services managers,Uncategorized,aged-care-services-managers,1343,23430,11.26,Bachelor's degree,None,None,3671,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C1343
Agricultural and forestry production managers,Uncategorized,agricultural-and-forestry-production-managers,1311,20925,10.06,Bachelor's degree,None,None,3671,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C1311
Agricultural and industrial machinery mechanics and repairers,Uncategorized,agricultural-and-industrial-machinery-mechanics-and-repairers,7233,12229,5.88,High school diploma or equivalent,None,None,8007,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7233
Agricultural technicians,Uncategorized,agricultural-technicians,3142,15984,7.68,Associate's degree,None,None,2715,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3142
Air conditioning and refrigeration mechanics,Uncategorized,air-conditioning-and-refrigeration-mechanics,7127,8988,4.32,High school diploma or equivalent,None,None,7031,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7127
Air traffic controllers,Uncategorized,air-traffic-controllers,3154,12787,6.15,Associate's degree,None,None,2715,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3154
Air traffic safety electronics technicians,Uncategorized,air-traffic-safety-electronics-technicians,3155,14869,7.15,Associate's degree,None,None,2715,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3155
Aircraft engine mechanics and repairers,Uncategorized,aircraft-engine-mechanics-and-repairers,7232,11633,5.59,High school diploma or equivalent,None,None,8007,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C7232
Aircraft pilots and related associate professionals,Uncategorized,aircraft-pilots-and-related-associate-professionals,3153,12642,6.08,Associate's degree,None,None,2715,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3153
Ambulance workers,Uncategorized,ambulance-workers,3258,14443,6.94,Associate's degree,None,None,858,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3258
Animal producers not elsewhere classified,Uncategorized,animal-producers-not-elsewhere-classified,6129,8000,3.85,No formal educational credential,None,None,7100,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C6129
"Announcers on radio, television and other media",Uncategorized,announcers-on-radio-television-and-other-media,2656,15905,7.65,Bachelor's degree,None,None,3590,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2656
Apiarists and sericulturists,Uncategorized,apiarists-and-sericulturists,6123,8000,3.85,No formal educational credential,None,None,7100,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C6123
Applications programmers,Uncategorized,applications-programmers,2514,20817,10.01,Bachelor's degree,None,None,8322,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2514
Aquaculture and fisheries production managers,Uncategorized,aquaculture-and-fisheries-production-managers,1312,19660,9.45,Bachelor's degree,None,None,3671,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C1312
Aquaculture workers,Uncategorized,aquaculture-workers,6221,8000,3.85,No formal educational credential,None,None,1700,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C6221
Archivists and curators,Uncategorized,archivists-and-curators,2621,16071,7.73,Bachelor's degree,None,None,3590,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2621
"Armed forces occupations, other ranks",Uncategorized,armed-forces-occupations-other-ranks,0310,10693,5.14,High school diploma or equivalent,None,None,9600,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C0310
Assemblers not elsewhere classified,Uncategorized,assemblers-not-elsewhere-classified,8219,11916,5.73,High school diploma or equivalent,None,None,11866,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C8219
"Astrologers, fortune-tellers and related workers",Uncategorized,astrologers-fortune-tellers-and-related-workers,5161,10365,4.98,High school diploma or equivalent,None,None,7541,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5161
Athletes and sports players,Uncategorized,athletes-and-sports-players,3421,13598,6.54,Associate's degree,None,None,1672,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3421
Audiologists and speech therapists,Uncategorized,audiologists-and-speech-therapists,2266,18135,8.72,Bachelor's degree,None,None,5233,10200,10,As fast as average,200,http://data.europa.eu/esco/isco/C2266
Authors and related writers,Uncategorized,authors-and-related-writers,2641,20152,9.69,Bachelor's degree,None,None,3590,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2641
"Bakers, pastry-cooks and confectionery makers",Uncategorized,bakers-pastry-cooks-and-confectionery-makers,7512,11578,5.57,High school diploma or equivalent,None,None,4350,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C7512
