title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,url
Accountants,Uncategorized,accountants,2411,42638,20.50,Bachelor's degree,None,None,49845,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2411
Accounting and bookkeeping clerks,Uncategorized,accounting-and-bookkeeping-clerks,4311,29110,14.00,High school diploma or equivalent,None,None,96800,10200,-7,As fast as average,200,http://data.europa.eu/esco/isco/C4311
Accounting associate professionals,Uncategorized,accounting-associate-professionals,3313,32943,15.84,Associate's degree,None,None,45279,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3313
Actors,Uncategorized,actors,2655,43547,20.94,Bachelor's degree,None,None,29214,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2655
Administrative and executive secretaries,Uncategorized,administrative-and-executive-secretaries,3343,31368,15.08,Associate's degree,None,None,45279,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3343
Advertising and marketing professionals,Uncategorized,advertising-and-marketing-professionals,2431,40542,19.49,Bachelor's degree,None,None,49845,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2431
Advertising and public relations managers,Uncategorized,advertising-and-public-relations-managers,1222,52533,25.26,Bachelor's degree,None,None,36771,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C1222
Aged care services managers,Uncategorized,aged-care-services-managers,1343,54391,26.15,Bachelor's degree,None,None,17028,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C1343
Agricultural and forestry production managers,Uncategorized,agricultural-and-forestry-production-managers,1311,48576,23.35,Bachelor's degree,None,None,17028,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C1311
Agricultural and industrial machinery mechanics and repairers,Uncategorized,agricultural-and-industrial-machinery-mechanics-and-repairers,7233,28388,13.65,High school diploma or equivalent,None,None,41738,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7233
Agricultural technicians,Uncategorized,agricultural-technicians,3142,37107,17.84,Associate's degree,None,None,17861,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3142
Air conditioning and refrigeration mechanics,Uncategorized,air-conditioning-and-refrigeration-mechanics,7127,20866,10.03,High school diploma or equivalent,None,None,58418,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7127
Air traffic controllers,Uncategorized,air-traffic-controllers,3154,29686,14.27,Associate's degree,None,None,17861,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3154
Air traffic safety electronics technicians,Uncategorized,air-traffic-safety-electronics-technicians,3155,34517,16.59,Associate's degree,None,None,17861,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3155
Aircraft engine mechanics and repairers,Uncategorized,aircraft-engine-mechanics-and-repairers,7232,27006,12.98,High school diploma or equivalent,None,None,41738,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C7232
Aircraft pilots and related associate professionals,Uncategorized,aircraft-pilots-and-related-associate-professionals,3153,29347,14.11,Associate's degree,None,None,17861,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3153
Ambulance workers,Uncategorized,ambulance-workers,3258,33529,16.12,Associate's degree,None,None,14700,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3258
Animal producers not elsewhere classified,Uncategorized,animal-producers-not-elsewhere-classified,6129,15397,7.40,No formal educational credential,None,None,43344,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C6129
"Announcers on radio, television and other media",Uncategorized,announcers-on-radio-television-and-other-media,2656,36923,17.75,Bachelor's degree,None,None,29214,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2656
Apiarists and sericulturists,Uncategorized,apiarists-and-sericulturists,6123,17906,8.61,No formal educational credential,None,None,43344,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C6123
Applications programmers,Uncategorized,applications-programmers,2514,48325,23.23,Bachelor's degree,None,None,27433,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2514
Aquaculture and fisheries production managers,Uncategorized,aquaculture-and-fisheries-production-managers,1312,45639,21.94,Bachelor's degree,None,None,17028,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C1312
Aquaculture workers,Uncategorized,aquaculture-workers,6221,13963,6.71,No formal educational credential,None,None,6820,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C6221
Archivists and curators,Uncategorized,archivists-and-curators,2621,37309,17.94,Bachelor's degree,None,None,29214,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2621
"Armed forces occupations, other ranks",Uncategorized,armed-forces-occupations-other-ranks,0310,24824,11.93,High school diploma or equivalent,None,None,56700,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C0310
Assemblers not elsewhere classified,Uncategorized,assemblers-not-elsewhere-classified,8219,27663,13.30,High school diploma or equivalent,None,None,48900,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C8219
"Astrologers, fortune-tellers and related workers",Uncategorized,astrologers-fortune-tellers-and-related-workers,5161,24063,11.57,High school diploma or equivalent,None,None,58423,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5161
Athletes and sports players,Uncategorized,athletes-and-sports-players,3421,31567,15.18,Associate's degree,None,None,30000,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3421
Audiologists and speech therapists,Uncategorized,audiologists-and-speech-therapists,2266,42100,20.24,Bachelor's degree,None,None,52473,10200,10,As fast as average,200,http://data.europa.eu/esco/isco/C2266
Authors and related writers,Uncategorized,authors-and-related-writers,2641,46783,22.49,Bachelor's degree,None,None,29214,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2641
"Bakers, pastry-cooks and confectionery makers",Uncategorized,bakers-pastry-cooks-and-confectionery-makers,7512,26878,12.92,High school diploma or equivalent,None,None,15875,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C7512
Bank tellers and related clerks,Uncategorized,bank-tellers-and-related-clerks,4211,28309,13.61,High school diploma or equivalent,None,None,77825,10200,-6,As fast as average,200,http://data.europa.eu/esco/isco/C4211
Bartenders,Uncategorized,bartenders,5132,14543,6.99,High school diploma or equivalent,None,None,58423,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5132
Beauticians and related workers,Uncategorized,beauticians-and-related-workers,5142,21610,10.39,High school diploma or equivalent,None,None,58423,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C5142
Bicycle and related repairers,Uncategorized,bicycle-and-related-repairers,7234,27052,13.01,High school diploma or equivalent,None,None,41738,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C7234
"Biologists, botanists, zoologists and related professionals",Uncategorized,biologists-botanists-zoologists-and-related-professionals,2131,41300,19.86,Bachelor's degree,None,None,28850,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2131
"Blacksmiths, hammersmiths and forging press workers",Uncategorized,blacksmiths-hammersmiths-and-forging-press-workers,7221,31005,14.91,High school diploma or equivalent,None,None,41738,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7221
"Bleaching, dyeing and fabric cleaning machine operators",Uncategorized,bleaching-dyeing-and-fabric-cleaning-machine-operators,8154,20606,9.91,High school diploma or equivalent,None,None,17538,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C8154
"Bookmakers, croupiers and related gaming workers",Uncategorized,bookmakers-croupiers-and-related-gaming-workers,4212,20521,9.87,High school diploma or equivalent,None,None,77825,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C4212
Bricklayers and related workers,Uncategorized,bricklayers-and-related-workers,7112,27363,13.16,High school diploma or equivalent,None,None,58418,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7112
Broadcasting and audiovisual technicians,Uncategorized,broadcasting-and-audiovisual-technicians,3521,34884,16.77,Associate's degree,None,None,65816,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3521
Building and related electricians,Uncategorized,building-and-related-electricians,7411,26689,12.83,High school diploma or equivalent,None,None,73700,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C7411
Building architects,Uncategorized,building-architects,2161,44992,21.63,Bachelor's degree,None,None,28850,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C2161
Building caretakers,Uncategorized,building-caretakers,5153,16591,7.98,High school diploma or equivalent,None,None,58423,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C5153
Building construction labourers,Uncategorized,building-construction-labourers,9313,11737,5.64,No formal educational credential,None,None,79366,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C9313
Building frame and related trades workers not elsewhere classified,Uncategorized,building-frame-and-related-trades-workers-not-elsewhere-classified,7119,21891,10.52,High school diploma or equivalent,None,None,58418,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C7119
