title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,url
Accountants,Uncategorized,accountants,2411,24926,11.98,Bachelor's degree,None,None,4000,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2411
Accounting and bookkeeping clerks,Uncategorized,accounting-and-bookkeeping-clerks,4311,17018,8.18,High school diploma or equivalent,None,None,10050,10200,-7,As fast as average,200,http://data.europa.eu/esco/isco/C4311
Accounting associate professionals,Uncategorized,accounting-associate-professionals,3313,19259,9.26,Associate's degree,None,None,3583,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3313
Actors,Uncategorized,actors,2655,25458,12.24,Bachelor's degree,None,None,3476,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2655
Administrative and executive secretaries,Uncategorized,administrative-and-executive-secretaries,3343,18338,8.82,Associate's degree,None,None,3583,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3343
Advertising and marketing professionals,Uncategorized,advertising-and-marketing-professionals,2431,23701,11.39,Bachelor's degree,None,None,4000,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2431
Advertising and public relations managers,Uncategorized,advertising-and-public-relations-managers,1222,30711,14.76,Bachelor's degree,None,None,2042,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C1222
Aged care services managers,Uncategorized,aged-care-services-managers,1343,31798,15.29,Bachelor's degree,None,None,3257,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C1343
Agricultural and forestry production managers,Uncategorized,agricultural-and-forestry-production-managers,1311,28398,13.65,Bachelor's degree,None,None,3257,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C1311
Agricultural and industrial machinery mechanics and repairers,Uncategorized,agricultural-and-industrial-machinery-mechanics-and-repairers,7233,16596,7.98,High school diploma or equivalent,None,None,5869,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7233
Agricultural technicians,Uncategorized,agricultural-technicians,3142,21693,10.43,Associate's degree,None,None,2457,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3142
Air conditioning and refrigeration mechanics,Uncategorized,air-conditioning-and-refrigeration-mechanics,7127,12198,5.86,High school diploma or equivalent,None,None,3143,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7127
Air traffic controllers,Uncategorized,air-traffic-controllers,3154,17354,8.34,Associate's degree,None,None,2457,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3154
Air traffic safety electronics technicians,Uncategorized,air-traffic-safety-electronics-technicians,3155,20179,9.70,Associate's degree,None,None,2457,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3155
Aircraft engine mechanics and repairers,Uncategorized,aircraft-engine-mechanics-and-repairers,7232,15788,7.59,High school diploma or equivalent,None,None,5869,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C7232
Aircraft pilots and related associate professionals,Uncategorized,aircraft-pilots-and-related-associate-professionals,3153,17157,8.25,Associate's degree,None,None,2457,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3153
Ambulance workers,Uncategorized,ambulance-workers,3258,19601,9.42,Associate's degree,None,None,2276,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3258
Animal producers not elsewhere classified,Uncategorized,animal-producers-not-elsewhere-classified,6129,9001,4.33,No formal educational credential,None,None,3766,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C6129
"Announcers on radio, television and other media",Uncategorized,announcers-on-radio-television-and-other-media,2656,21585,10.38,Bachelor's degree,None,None,3476,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2656
Apiarists and sericulturists,Uncategorized,apiarists-and-sericulturists,6123,10468,5.03,No formal educational credential,None,None,3766,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C6123
Applications programmers,Uncategorized,applications-programmers,2514,28251,13.58,Bachelor's degree,None,None,3533,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2514
Aquaculture and fisheries production managers,Uncategorized,aquaculture-and-fisheries-production-managers,1312,26681,12.83,Bachelor's degree,None,None,3257,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C1312
Aquaculture workers,Uncategorized,aquaculture-workers,6221,8163,3.92,No formal educational credential,None,None,580,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C6221
Archivists and curators,Uncategorized,archivists-and-curators,2621,21811,10.49,Bachelor's degree,None,None,3476,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2621
"Armed forces occupations, other ranks",Uncategorized,armed-forces-occupations-other-ranks,0310,14512,6.98,High school diploma or equivalent,None,None,7100,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C0310
Assemblers not elsewhere classified,Uncategorized,assemblers-not-elsewhere-classified,8219,16172,7.78,High school diploma or equivalent,None,None,3100,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C8219
"Astrologers, fortune-tellers and related workers",Uncategorized,astrologers-fortune-tellers-and-related-workers,5161,14067,6.76,High school diploma or equivalent,None,None,5641,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5161
Athletes and sports players,Uncategorized,athletes-and-sports-players,3421,18455,8.87,Associate's degree,None,None,1209,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3421
Audiologists and speech therapists,Uncategorized,audiologists-and-speech-therapists,2266,24612,11.83,Bachelor's degree,None,None,2386,10200,10,As fast as average,200,http://data.europa.eu/esco/isco/C2266
Authors and related writers,Uncategorized,authors-and-related-writers,2641,27350,13.15,Bachelor's degree,None,None,3476,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2641
"Bakers, pastry-cooks and confectionery makers",Uncategorized,bakers-pastry-cooks-and-confectionery-makers,7512,15713,7.55,High school diploma or equivalent,None,None,1210,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C7512
Bank tellers and related clerks,Uncategorized,bank-tellers-and-related-clerks,4211,16550,7.96,High school diploma or equivalent,None,None,2425,10200,-6,As fast as average,200,http://data.europa.eu/esco/isco/C4211
Bartenders,Uncategorized,bartenders,5132,8502,4.09,High school diploma or equivalent,None,None,5641,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5132
Beauticians and related workers,Uncategorized,beauticians-and-related-workers,5142,12633,6.07,High school diploma or equivalent,None,None,5641,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C5142
Bicycle and related repairers,Uncategorized,bicycle-and-related-repairers,7234,15815,7.60,High school diploma or equivalent,None,None,5869,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C7234
"Biologists, botanists, zoologists and related professionals",Uncategorized,biologists-botanists-zoologists-and-related-professionals,2131,24144,11.61,Bachelor's degree,None,None,2066,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2131
"Blacksmiths, hammersmiths and forging press workers",Uncategorized,blacksmiths-hammersmiths-and-forging-press-workers,7221,18126,8.71,High school diploma or equivalent,None,None,5869,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7221
"Bleaching, dyeing and fabric cleaning machine operators",Uncategorized,bleaching-dyeing-and-fabric-cleaning-machine-operators,8154,12046,5.79,High school diploma or equivalent,None,None,2157,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C8154
