title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,url
Accountants,Uncategorized,accountants,2411,52477,25.23,Bachelor's degree,None,None,48227,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2411
Accounting and bookkeeping clerks,Uncategorized,accounting-and-bookkeeping-clerks,4311,35828,17.23,High school diploma or equivalent,None,None,115900,10200,-7,As fast as average,200,http://data.europa.eu/esco/isco/C4311
Accounting associate professionals,Uncategorized,accounting-associate-professionals,3313,40546,19.49,Associate's degree,None,None,69112,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3313
Actors,Uncategorized,actors,2655,53596,25.77,Bachelor's degree,None,None,24552,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2655
Administrative and executive secretaries,Uncategorized,administrative-and-executive-secretaries,3343,38607,18.56,Associate's degree,None,None,69112,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3343
Advertising and marketing professionals,Uncategorized,advertising-and-marketing-professionals,2431,49898,23.99,Bachelor's degree,None,None,48227,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2431
Advertising and public relations managers,Uncategorized,advertising-and-public-relations-managers,1222,64656,31.08,Bachelor's degree,None,None,7328,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C1222
Aged care services managers,Uncategorized,aged-care-services-managers,1343,66943,32.18,Bachelor's degree,None,None,20050,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C1343
Agricultural and forestry production managers,Uncategorized,agricultural-and-forestry-production-managers,1311,59786,28.74,Bachelor's degree,None,None,20050,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C1311
Agricultural and industrial machinery mechanics and repairers,Uncategorized,agricultural-and-industrial-machinery-mechanics-and-repairers,7233,34940,16.80,High school diploma or equivalent,None,None,69600,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7233
Agricultural technicians,Uncategorized,agricultural-technicians,3142,45670,21.96,Associate's degree,None,None,36153,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3142
Air conditioning and refrigeration mechanics,Uncategorized,air-conditioning-and-refrigeration-mechanics,7127,25681,12.35,High school diploma or equivalent,None,None,59037,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7127
Air traffic controllers,Uncategorized,air-traffic-controllers,3154,36536,17.57,Associate's degree,None,None,36153,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3154
Air traffic safety electronics technicians,Uncategorized,air-traffic-safety-electronics-technicians,3155,42483,20.42,Associate's degree,None,None,36153,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3155
Aircraft engine mechanics and repairers,Uncategorized,aircraft-engine-mechanics-and-repairers,7232,33238,15.98,High school diploma or equivalent,None,None,69600,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C7232
Aircraft pilots and related associate professionals,Uncategorized,aircraft-pilots-and-related-associate-professionals,3153,36120,17.37,Associate's degree,None,None,36153,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3153
Ambulance workers,Uncategorized,ambulance-workers,3258,41267,19.84,Associate's degree,None,None,47176,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3258
Animal producers not elsewhere classified,Uncategorized,animal-producers-not-elsewhere-classified,6129,18951,9.11,No formal educational credential,None,None,50411,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C6129
"Announcers on radio, television and other media",Uncategorized,announcers-on-radio-television-and-other-media,2656,45444,21.85,Bachelor's degree,None,None,24552,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2656
Apiarists and sericulturists,Uncategorized,apiarists-and-sericulturists,6123,22038,10.60,No formal educational credential,None,None,50411,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C6123
Applications programmers,Uncategorized,applications-programmers,2514,59477,28.59,Bachelor's degree,None,None,25944,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2514
Aquaculture and fisheries production managers,Uncategorized,aquaculture-and-fisheries-production-managers,1312,56172,27.01,Bachelor's degree,None,None,20050,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C1312
Aquaculture workers,Uncategorized,aquaculture-workers,6221,17186,8.26,No formal educational credential,None,None,4660,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C6221
Archivists and curators,Uncategorized,archivists-and-curators,2621,45919,22.08,Bachelor's degree,None,None,24552,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2621
"Armed forces occupations, other ranks",Uncategorized,armed-forces-occupations-other-ranks,0310,30552,14.69,High school diploma or equivalent,None,None,116000,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C0310
Assemblers not elsewhere classified,Uncategorized,assemblers-not-elsewhere-classified,8219,34047,16.37,High school diploma or equivalent,None,None,53166,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C8219
"Astrologers, fortune-tellers and related workers",Uncategorized,astrologers-fortune-tellers-and-related-workers,5161,29616,14.24,High school diploma or equivalent,None,None,76352,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5161
Athletes and sports players,Uncategorized,athletes-and-sports-players,3421,38852,18.68,Associate's degree,None,None,22290,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3421
Audiologists and speech therapists,Uncategorized,audiologists-and-speech-therapists,2266,51816,24.91,Bachelor's degree,None,None,20153,10200,10,As fast as average,200,http://data.europa.eu/esco/isco/C2266
Authors and related writers,Uncategorized,authors-and-related-writers,2641,57579,27.68,Bachelor's degree,None,None,24552,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2641
"Bakers, pastry-cooks and confectionery makers",Uncategorized,bakers-pastry-cooks-and-confectionery-makers,7512,33080,15.90,High school diploma or equivalent,None,None,28840,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C7512
Bank tellers and related clerks,Uncategorized,bank-tellers-and-related-clerks,4211,34842,16.75,High school diploma or equivalent,None,None,41141,10200,-6,As fast as average,200,http://data.europa.eu/esco/isco/C4211
Bartenders,Uncategorized,bartenders,5132,17899,8.61,High school diploma or equivalent,None,None,76352,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5132
Beauticians and related workers,Uncategorized,beauticians-and-related-workers,5142,26597,12.79,High school diploma or equivalent,None,None,76352,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C5142
Bicycle and related repairers,Uncategorized,bicycle-and-related-repairers,7234,33295,16.01,High school diploma or equivalent,None,None,69600,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C7234
