title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,url
Accountants,Uncategorized,accountants,2411,36078,17.35,Bachelor's degree,None,None,1463,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2411
Accounting and bookkeeping clerks,Uncategorized,accounting-and-bookkeeping-clerks,4311,24631,11.84,High school diploma or equivalent,None,None,1050,10200,-7,As fast as average,200,http://data.europa.eu/esco/isco/C4311
Accounting associate professionals,Uncategorized,accounting-associate-professionals,3313,27875,13.40,Associate's degree,None,None,770,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3313
Actors,Uncategorized,actors,2655,36847,17.71,Bachelor's degree,None,None,295,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2655
Administrative and executive secretaries,Uncategorized,administrative-and-executive-secretaries,3343,26542,12.76,Associate's degree,None,None,770,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3343
Advertising and marketing professionals,Uncategorized,advertising-and-marketing-professionals,2431,34305,16.49,Bachelor's degree,None,None,1463,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2431
Advertising and public relations managers,Uncategorized,advertising-and-public-relations-managers,1222,44451,21.37,Bachelor's degree,None,None,1228,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C1222
Aged care services managers,Uncategorized,aged-care-services-managers,1343,46023,22.13,Bachelor's degree,None,None,492,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C1343
Agricultural and forestry production managers,Uncategorized,agricultural-and-forestry-production-managers,1311,41103,19.76,Bachelor's degree,None,None,492,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C1311
Agricultural and industrial machinery mechanics and repairers,Uncategorized,agricultural-and-industrial-machinery-mechanics-and-repairers,7233,24021,11.55,High school diploma or equivalent,None,None,400,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7233
Agricultural technicians,Uncategorized,agricultural-technicians,3142,31398,15.10,Associate's degree,None,None,234,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3142
Air conditioning and refrigeration mechanics,Uncategorized,air-conditioning-and-refrigeration-mechanics,7127,17656,8.49,High school diploma or equivalent,None,None,900,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7127
Air traffic controllers,Uncategorized,air-traffic-controllers,3154,25119,12.08,Associate's degree,None,None,234,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3154
Air traffic safety electronics technicians,Uncategorized,air-traffic-safety-electronics-technicians,3155,29207,14.04,Associate's degree,None,None,234,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3155
Aircraft engine mechanics and repairers,Uncategorized,aircraft-engine-mechanics-and-repairers,7232,22851,10.99,High school diploma or equivalent,None,None,400,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C7232
Aircraft pilots and related associate professionals,Uncategorized,aircraft-pilots-and-related-associate-professionals,3153,24832,11.94,Associate's degree,None,None,234,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3153
Ambulance workers,Uncategorized,ambulance-workers,3258,28371,13.64,Associate's degree,None,None,147,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3258
Animal producers not elsewhere classified,Uncategorized,animal-producers-not-elsewhere-classified,6129,13028,6.26,No formal educational credential,None,None,233,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C6129
"Announcers on radio, television and other media",Uncategorized,announcers-on-radio-television-and-other-media,2656,31242,15.02,Bachelor's degree,None,None,295,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2656
Apiarists and sericulturists,Uncategorized,apiarists-and-sericulturists,6123,15151,7.28,No formal educational credential,None,None,233,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C6123
Applications programmers,Uncategorized,applications-programmers,2514,40890,19.66,Bachelor's degree,None,None,877,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2514
Aquaculture and fisheries production managers,Uncategorized,aquaculture-and-fisheries-production-managers,1312,38618,18.57,Bachelor's degree,None,None,492,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C1312
Aquaculture workers,Uncategorized,aquaculture-workers,6221,11815,5.68,No formal educational credential,None,None,58,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C6221
Archivists and curators,Uncategorized,archivists-and-curators,2621,31569,15.18,Bachelor's degree,None,None,295,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2621
"Armed forces occupations, other ranks",Uncategorized,armed-forces-occupations-other-ranks,0310,21005,10.10,High school diploma or equivalent,None,None,1700,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C0310
Assemblers not elsewhere classified,Uncategorized,assemblers-not-elsewhere-classified,8219,23407,11.25,High school diploma or equivalent,None,None,1333,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C8219
"Astrologers, fortune-tellers and related workers",Uncategorized,astrologers-fortune-tellers-and-related-workers,5161,20361,9.79,High school diploma or equivalent,None,None,729,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5161
Athletes and sports players,Uncategorized,athletes-and-sports-players,3421,26711,12.84,Associate's degree,None,None,809,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3421
Audiologists and speech therapists,Uncategorized,audiologists-and-speech-therapists,2266,35623,17.13,Bachelor's degree,None,None,673,10200,10,As fast as average,200,http://data.europa.eu/esco/isco/C2266
Authors and related writers,Uncategorized,authors-and-related-writers,2641,39585,19.03,Bachelor's degree,None,None,295,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2641
"Bakers, pastry-cooks and confectionery makers",Uncategorized,bakers-pastry-cooks-and-confectionery-makers,7512,22743,10.93,High school diploma or equivalent,None,None,240,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C7512
Bank tellers and related clerks,Uncategorized,bank-tellers-and-related-clerks,4211,23954,11.52,High school diploma or equivalent,None,None,800,10200,-6,As fast as average,200,http://data.europa.eu/esco/isco/C4211
Bartenders,Uncategorized,bartenders,5132,12305,5.92,High school diploma or equivalent,None,None,729,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5132
Beauticians and related workers,Uncategorized,beauticians-and-related-workers,5142,18285,8.79,High school diploma or equivalent,None,None,729,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C5142
Bicycle and related repairers,Uncategorized,bicycle-and-related-repairers,7234,22890,11.00,High school diploma or equivalent,None,None,400,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C7234
"Biologists, botanists, zoologists and related professionals",Uncategorized,biologists-botanists-zoologists-and-related-professionals,2131,34946,16.80,Bachelor's degree,None,None,345,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2131
"Blacksmiths, hammersmiths and forging press workers",Uncategorized,blacksmiths-hammersmiths-and-forging-press-workers,7221,26235,12.61,High school diploma or equivalent,None,None,400,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7221
"Bleaching, dyeing and fabric cleaning machine operators",Uncategorized,bleaching-dyeing-and-fabric-cleaning-machine-operators,8154,17436,8.38,High school diploma or equivalent,None,None,146,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C8154
"Bookmakers, croupiers and related gaming workers",Uncategorized,bookmakers-croupiers-and-related-gaming-workers,4212,17364,8.35,High school diploma or equivalent,None,None,800,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C4212
Bricklayers and related workers,Uncategorized,bricklayers-and-related-workers,7112,23153,11.13,High school diploma or equivalent,None,None,900,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7112
Broadcasting and audiovisual technicians,Uncategorized,broadcasting-and-audiovisual-technicians,3521,29517,14.19,Associate's degree,None,None,333,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3521
Building and related electricians,Uncategorized,building-and-related-electricians,7411,22583,10.86,High school diploma or equivalent,None,None,1020,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C7411
Building architects,Uncategorized,building-architects,2161,38070,18.30,Bachelor's degree,None,None,345,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C2161
Building caretakers,Uncategorized,building-caretakers,5153,14039,6.75,High school diploma or equivalent,None,None,729,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C5153
Building construction labourers,Uncategorized,building-construction-labourers,9313,9931,4.77,No formal educational credential,None,None,688,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C9313
Building frame and related trades workers not elsewhere classified,Uncategorized,building-frame-and-related-trades-workers-not-elsewhere-classified,7119,18523,8.91,High school diploma or equivalent,None,None,900,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C7119
Building structure cleaners,Uncategorized,building-structure-cleaners,7133,22183,10.66,High school diploma or equivalent,None,None,900,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7133
Bus and tram drivers,Uncategorized,bus-and-tram-drivers,8331,23818,11.45,High school diploma or equivalent,None,None,836,10200,-1,As fast as average,200,http://data.europa.eu/esco/isco/C8331
Business services agents not elsewhere classified,Uncategorized,business-services-agents-not-elsewhere-classified,3339,29022,13.95,Associate's degree,None,None,770,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3339
Business services and administration managers not elsewhere classified,Uncategorized,business-services-and-administration-managers-not-elsewhere-classified,1219,41858,20.12,Bachelor's degree,None,None,1228,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C1219
