title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,url
Accountants,Uncategorized,accountants,2411,78716,37.84,Bachelor's degree,None,None,78627,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2411
Accounting and bookkeeping clerks,Uncategorized,accounting-and-bookkeeping-clerks,4311,53742,25.84,High school diploma or equivalent,None,None,61366,10200,-7,As fast as average,200,http://data.europa.eu/esco/isco/C4311
Accounting associate professionals,Uncategorized,accounting-associate-professionals,3313,60819,29.24,Associate's degree,None,None,26866,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3313
Actors,Uncategorized,actors,2655,80395,38.65,Bachelor's degree,None,None,18542,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2655
Administrative and executive secretaries,Uncategorized,administrative-and-executive-secretaries,3343,57910,27.84,Associate's degree,None,None,26866,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3343
Advertising and marketing professionals,Uncategorized,advertising-and-marketing-professionals,2431,74847,35.98,Bachelor's degree,None,None,78627,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2431
Advertising and public relations managers,Uncategorized,advertising-and-public-relations-managers,1222,96985,46.63,Bachelor's degree,None,None,21314,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C1222
Aged care services managers,Uncategorized,aged-care-services-managers,1343,100414,48.28,Bachelor's degree,None,None,15278,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C1343
Agricultural and forestry production managers,Uncategorized,agricultural-and-forestry-production-managers,1311,89679,43.11,Bachelor's degree,None,None,15278,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C1311
Agricultural and industrial machinery mechanics and repairers,Uncategorized,agricultural-and-industrial-machinery-mechanics-and-repairers,7233,52410,25.20,High school diploma or equivalent,None,None,12100,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7233
Agricultural technicians,Uncategorized,agricultural-technicians,3142,68505,32.94,Associate's degree,None,None,9623,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3142
Air conditioning and refrigeration mechanics,Uncategorized,air-conditioning-and-refrigeration-mechanics,7127,38522,18.52,High school diploma or equivalent,None,None,14668,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7127
Air traffic controllers,Uncategorized,air-traffic-controllers,3154,54805,26.35,Associate's degree,None,None,9623,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3154
Air traffic safety electronics technicians,Uncategorized,air-traffic-safety-electronics-technicians,3155,63724,30.64,Associate's degree,None,None,9623,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3155
Aircraft engine mechanics and repairers,Uncategorized,aircraft-engine-mechanics-and-repairers,7232,49857,23.97,High school diploma or equivalent,None,None,12100,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C7232
Aircraft pilots and related associate professionals,Uncategorized,aircraft-pilots-and-related-associate-professionals,3153,54180,26.05,Associate's degree,None,None,9623,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3153
Ambulance workers,Uncategorized,ambulance-workers,3258,61900,29.76,Associate's degree,None,None,15888,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3258
Animal producers not elsewhere classified,Uncategorized,animal-producers-not-elsewhere-classified,6129,28426,13.67,No formal educational credential,None,None,14200,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C6129
"Announcers on radio, television and other media",Uncategorized,announcers-on-radio-television-and-other-media,2656,68166,32.77,Bachelor's degree,None,None,18542,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2656
